code,name
asp,Aspartic acid
asp_e,
glu,Glutamic acid
glu_e,
gly,Glycine
gly_e,
pro,Proline
pro_e,
ser,Serine
ser_e,
tyr,Tyrosine
tyr_e,
oxalt,Oxalates
oxalt_e,
oxals,Soluble Oxalate
oxals_e,
oxali,Insoluble Oxalate
oxali_e,
caconac,Cis-Aconitic acid
caconac_e,
citac,Citric acid
citac_e,
fumac,Fumaric acid
fumac_e,
malac,Malic acid
malac_e,
quinac,Quinic acid
quinac_e,
sucac,Succinic acid
sucac_e,
tarac,Tartaric acid
tarac_e,
dhbenzac34,"3,4-Dihydroxy Benzoic acid"
dhbenzac34_e,
hbenzal3,3-Hydroxy Benzaldehyde
hbenzal3_e,
pcathac,Protocatechuic acid
pcathac_e,
vanlac,Vanillic acid
vanlac_e,
gallac,Gallic acid
gallac_e,
cinmac,Cinnamic acid
cinmac_e,
coumaco,o-Coumaric acid
coumaco_e,
coumacp,p-Coumaric acid
coumacp_e,
caffac,Caffeic acid
caffac_e,
chlrac,Chlorogenic acid
chlrac_e,
ferac,Ferulic acid
ferac_e,
apigen,Apigenin
apigen_e,
apigen6cgls,Apigenin-6-C-gluoside
apigen6cgls_e,
apigen7onshps,Apigenin-7-O-neohesperidoside
apigen7onshps_e,
luteol,Luteolin
luteol_e,
kaemf,Kaempferol
kaemf_e,
querce,Quercetin
querce_e,
querce3bdgls,Quercetin-3-β-D-glucoside
querce3bdgls_e,
querce3ortns,Quercetin-3-O-rutinoside
querce3ortns_e,
querce3bgls,Quercetin-3-β-galactoside
querce3bgls_e,
isormt,Isorhamnetin
isormt_e,
myrct,Myricetin
myrct_e,
rsvrtol,Resvertrol
rsvrtol_e,
hespt,Hesperetin
hespt_e,
narng,Naringenin
narng_e,
hespd,Hesperdin
hespd_e,
daidzn,Daidzein
daidzn_e,
gnstein,Genistein
gnstein_e,
epicatec,(-)-Epicatechin
epicatec_e,
epicategc,(-)-Epigallo catechin
epicategc_e,
epicatgc3gal,(-)-Epigallo catechin 3-gallate
epicatgc3gal_e,
catec,(+)-Catechin
catec_e,
galcatecgal,(-)-Gallocatechin gallate
galcatecgal_e,
